medcode	readcode	readterm	arrhythmia	arrhythmia_type	arrhythmia_cat	cvd	angina	angina_type	angina_cat	cad	cad_cat	cad_type	mi	mi_cat	sca	sca_cat	revascularisation	revascularisation_cat	nonspecificcvd	nonspecificcvd_cat	confidence	hf	stroke	catstroke	vte	dvt	dvt_type	dvt_cat	pulmonaryembolism	pulmonaryembolism_cat	cardiomyopathy	cardiomyopathy_type	cardiomyopathy_cat	pericarditis	pericarditis_type	pericarditis_cat	vhd	vhd_type	vhd_cat	pvd_cat	cvdgrouped
6960	G61..11	cva - cerebrovascular accid due to intracerebral haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
18604	G61..12	stroke due to intracerebral haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
31595	G610.00	cortical haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
40338	G611.00	internal capsule haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
46316	G612.00	basal nucleus haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
13564	G613.00	cerebellar haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
7912	G614.00	pontine haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
30045	G616.00	external capsule haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
30202	G617.00	intracerebral haemorrhage, intraventricular				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
57315	G618.00	intracerebral haemorrhage, multiple localized				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
107440	G619.00	lobar cerebral haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
31060	G61X.00	intracerebral haemorrhage in hemisphere, unspecified				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
28314	G61X000	left sided intracerebral haemorrhage, unspecified				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
19201	G61X100	right sided intracerebral haemorrhage, unspecified				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
3535	G61z.00	intracerebral haemorrhage nos				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
57495	G63..11	infarction - precerebral				stroke															Diagnosis		1	10.ischaemic stroke																	1
23671	G63y000	cerebral infarct due to thrombosis of precerebral arteries				stroke															Diagnosis		1	10.ischaemic stroke																	1
24446	G63y100	cerebral infarction due to embolism of precerebral arteries				stroke															Diagnosis		1	10.ischaemic stroke																	1
5363	G64..11	cva - cerebral artery occlusion				stroke															Diagnosis		1	10.ischaemic stroke																	1
569	G64..12	infarction - cerebral				stroke															Diagnosis		1	10.ischaemic stroke																	1
6155	G64..13	stroke due to cerebral arterial occlusion				stroke															Diagnosis		1	10.ischaemic stroke																	1
36717	G640000	cerebral infarction due to thrombosis of cerebral arteries				stroke															Diagnosis		1	10.ischaemic stroke																	1
27975	G641000	cerebral infarction due to embolism of cerebral arteries				stroke															Diagnosis		1	10.ischaemic stroke																	1
3149	G64z.00	cerebral infarction nos				stroke															Diagnosis		1	10.ischaemic stroke																	1
15252	G64z.11	brainstem infarction nos				stroke															Diagnosis		1	10.ischaemic stroke																	1
5602	G64z.12	cerebellar infarction				stroke															Diagnosis		1	10.ischaemic stroke																	1
25615	G64z000	brainstem infarction				stroke															Diagnosis		1	10.ischaemic stroke																	1
47642	G64z100	wallenberg syndrome				stroke															Diagnosis		1	90.history of stroke nos																	1
5185	G64z111	lateral medullary syndrome				stroke															History		1	90.history of stroke nos																	1
9985	G64z200	left sided cerebral infarction				stroke															Diagnosis		1	10.ischaemic stroke																	1
10504	G64z300	right sided cerebral infarction				stroke															Diagnosis		1	10.ischaemic stroke																	1
26424	G64z400	infarction of basal ganglia				stroke															Diagnosis		1	10.ischaemic stroke																	1
1469	G66..00	stroke and cerebrovascular accident unspecified				stroke															Diagnosis		1	30.stroke nos																	1
1298	G66..11	cva unspecified				stroke															Diagnosis		1	30.stroke nos																	1
6253	G66..12	stroke unspecified				stroke															Diagnosis		1	30.stroke nos																	1
6116	G66..13	cva - cerebrovascular accident unspecified				stroke															Diagnosis		1	30.stroke nos																	1
8443	G663.00	brain stem stroke syndrome				stroke															Diagnosis		1	30.stroke nos																	1
17322	G664.00	cerebellar stroke syndrome				stroke															Diagnosis		1	30.stroke nos																	1
33499	G665.00	pure motor lacunar syndrome				stroke															Diagnosis		1	30.stroke nos																	1
7780	G667.00	left sided cva				stroke															Diagnosis		1	30.stroke nos																	1
12833	G668.00	right sided cva				stroke															Diagnosis		1	30.stroke nos																	1
13577	G67..00	other cerebrovascular disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
40053	G671.00	generalised ischaemic cerebrovascular disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
12555	G671z00	generalised ischaemic cerebrovascular disease nos				cad				CAD	Diagnosis	Not specific																													1
37947	G676.00	nonpyogenic venous sinus thrombosis				dvt																				1	4. DVT cerebral venous sinuses	Diagnosis													1
39344	G676000	cereb infarct due cerebral venous thrombosis, nonpyogenic				stroke															Diagnosis		1	10.ischaemic stroke																	1
98188	G679.00	small vessel cerebrovascular disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
34117	G67y.00	other cerebrovascular disease os				cad				CAD	Diagnosis	Not specific																													1
37493	G67z.00	other cerebrovascular disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
23361	G68..00	late effects of cerebrovascular disease				cad				CAD	Diagnosis	Not specific																													1
48149	G681.00	sequelae of intracerebral haemorrhage				stroke															History		1	90.history of stroke nos																	1
43451	G682.00	sequelae of other nontraumatic intracranial haemorrhage				stroke															History		1	90.history of stroke nos																	1
39403	G683.00	sequelae of cerebral infarction				stroke															History		1	90.history of stroke nos																	1
51138	G68W.00	sequelae/other + unspecified cerebrovascular diseases				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
6228	G68X.00	sequelae of stroke,not specfd as h'morrhage or infarction				stroke															History		1	90.history of stroke nos																	1
40758	G6W..00	cereb infarct due unsp occlus/stenos precerebr arteries				stroke															Diagnosis		1	10.ischaemic stroke																	1
33543	G6X..00	cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs				stroke															Diagnosis		1	10.ischaemic stroke																	1
51311	G6y..00	other specified cerebrovascular disease				cad				CAD	Diagnosis	Not specific																													1
10062	G6z..00	cerebrovascular disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
19155	G700.11	aorto-iliac disease				pvd																																		Diagnosis	1
14797	G702.00	extremity artery atheroma				pvd																																		Diagnosis	1
16260	G702z00	extremity artery atheroma nos				pvd																																		Diagnosis	1
114606	G729.00	aneurysm and dissection of precerebral artery				stroke															Possible		1	21.haemorrhagic stroke intracerebral																	1
5943	G73..00	other peripheral vascular disease				pvd																																		Diagnosis	1
5702	G73..11	peripheral ischaemic vascular disease				pvd																																		Diagnosis	1
1826	G73..12	ischaemia of legs				pvd																																		Diagnosis	1
6827	G73..13	peripheral ischaemia				pvd																																		Diagnosis	1
34638	G731.00	thromboangiitis obliterans				pvd																																		Diagnosis	1
23497	G731000	buerger's disease				pvd																																		Diagnosis	1
67401	G731z00	thromboangiitis obliterans nos				pvd																																		Diagnosis	1
9204	G732.00	peripheral gangrene				pvd																																		Diagnosis	1
5414	G732000	gangrene of toe				pvd																																		Diagnosis	1
12735	G732100	gangrene of foot				pvd																																		Diagnosis	1
98174	G733.00	ischaemic foot				pvd																																		Diagnosis	1
105317	G734.00	peripheral arterial disease				pvd																																		Diagnosis	1
38907	G73y.00	other specified peripheral vascular disease				pvd																																		Diagnosis	1
34152	G73y000	diabetic peripheral angiopathy				pvd																																		Diagnosis	1
23871	G73y100	peripheral angiopathic disease ec nos				pvd																																		Diagnosis	1
4317	G73y200	acrocyanosis				pvd																																		Diagnosis	1
22834	G73y400	acroparaesthesia - schultze's type				pvd																																		Diagnosis	1
25954	G73y500	acroparaesthesia - nothnagel's type				pvd																																		Diagnosis	1
68698	G73y511	nothnagel's vasomotor acroparaesthesia				pvd																																		Diagnosis	1
3715	G73y600	acroparaesthesia - unspecified				pvd																																		Diagnosis	1
15272	G73y700	erythrocyanosis				pvd																																		Diagnosis	1
10500	G73y800	erythromelalgia				pvd																																		Diagnosis	1
4325	G73yz00	other specified peripheral vascular disease nos				pvd																																		Diagnosis	1
3530	G73z.00	peripheral vascular disease nos				pvd																																		Diagnosis	1
1517	G73z000	intermittent claudication				pvd																																		Diagnosis	1
6853	G73z011	claudication				pvd																																		Diagnosis	1
101866	G73z012	vascular claudication				pvd																																		Diagnosis	1
2760	G73zz00	peripheral vascular disease nos				pvd																																		Diagnosis	1
5650	G740.12	aortoiliac obstruction				pvd																																		Diagnosis	1
15302	G742z00	peripheral arterial embolism and thrombosis nos				pvd																																		Diagnosis	1
36422	G8...00	vein, lymphatic and circulatory diseases nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
3576	G801.00	deep vein phlebitis and thrombophlebitis of the leg				vte																			1																1
824	G801.11	deep vein thrombosis				dvt																				1	2.DVT other/NOS	Diagnosis													1
25478	G801.12	deep vein thrombosis, leg				dvt																				1	3. DVT legs	Diagnosis													1
3392	G801.13	dvt - deep vein thrombosis				dvt																				1	2.DVT other/NOS	Diagnosis													1
15382	G801600	thrombophlebitis of the femoral vein				vte																			1																1
55661	G801700	thrombophlebitis of the popliteal vein				dvt																				1	3. DVT legs	Diagnosis													1
95077	G801800	thrombophlebitis of the anterior tibial vein				vte																			1																1
106482	G801900	thrombophlebitis of the dorsalis pedis vein				dvt																				1	2.DVT other/NOS	Diagnosis													1
61760	G801A00	thrombophlebitis of the posterior tibial vein				vte																			1																1
32002	G801B00	deep vein thrombophlebitis of the leg unspecified				dvt																				1	3. DVT legs	Diagnosis													1
42506	G801C00	deep vein thrombosis of leg related to air travel				vte																			1																1
22038	G801D00	deep vein thrombosis of lower limb				dvt																				1	2.DVT other/NOS	Diagnosis													1
48920	G801E00	deep vein thrombosis of leg related to intravenous drug use				dvt																				1	3. DVT legs	Diagnosis													1
98526	G801F00	deep vein thrombosis of peroneal vein				dvt																				1	3. DVT legs	Diagnosis													1
104342	G801G00	recurrent deep vein thrombosis				dvt																				1	2.DVT other/NOS	Diagnosis													1
110542	G801H00	unprovoked deep vein thrombosis				vte																			1																1
110449	G801J00	provoked deep vein thrombosis				dvt																				1	2.DVT other/NOS	Diagnosis													1
27284	G801z00	deep vein phlebitis and thrombophlebitis of the leg nos				dvt																				1	3. DVT legs	Diagnosis													1
38099	G80y.11	phlebitis and/or thrombophlebitis of iliac vein				vte																			1																1
58166	G80y400	thrombophlebitis of the common iliac vein				dvt																				1	2.DVT other/NOS	Diagnosis													1
94496	G80y500	thrombophlebitis of the internal iliac vein				dvt																				1	2.DVT other/NOS	Diagnosis													1
58023	G80y600	thrombophlebitis of the external iliac vein				vte																			1																1
91282	G80y700	thrombophlebitis of the iliac vein unspecified				dvt																				1	2.DVT other/NOS	Diagnosis													1
70467	G80y800	phlebitis and thrombophlebitis of the iliac vein nos				vte																			1																1
8769	G81..00	portal vein thrombosis				dvt																				1	2.DVT other/NOS	Diagnosis													1
57100	G820.11	hepatic vein thrombosis				dvt																				1	2.DVT other/NOS	Diagnosis													1
43555	G822.00	embolism and thrombosis of the vena cava				vte																			1																1
97808	G822000	thrombosis of inferior vena cava				dvt																				1	2.DVT other/NOS	Diagnosis													1
15191	G8y..00	other specified vein, lymphatic or other circulatory disease				cad				CAD	Diagnosis	Not specific																													1
36323	G8z..00	vein, lymphatic and other circulatory diseases nos				cad				CAD	Diagnosis	Not specific																													1
107462	GA...00	rheumatic heart disease				cad				CAD	Diagnosis	Not specific																													1
113022	Gy20.00	thrombosis of dialysis arteriovenous graft				dvt																				1	2.DVT other/NOS	Diagnosis													1
64876	Gyu..00	[x]additional circulatory system disease classificatn terms				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
100051	Gyu0000	[x]other acute rheumatic heart disease				cad				CAD	Diagnosis	Not specific																													1
113198	Gyu1400	[x]other specified rheumatic heart diseases				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
52517	Gyu3.00	[x]ischaemic heart diseases				cad				CAD	Diagnosis	Not specific																													1
39546	Gyu3000	[x]other forms of angina pectoris				angina	Angina	Stable angina	Diagnosis																																1
113358	Gyu3100	[x]other current complicatns following acute myocard infarct				mi							1	History of																											1
68401	Gyu3200	[x]other forms of acute ischaemic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
47637	Gyu3300	[x]other forms of chronic ischaemic heart disease				cad				CAD	Diagnosis	Not specific																													1
96838	Gyu3400	[x]acute transmural myocardial infarction of unspecif site				cad				CAD	Diagnosis	MI																													1
109035	Gyu3500	[x]subsequent myocardial infarction of other sites				mi							1	Myocardial infarction																											1
99991	Gyu3600	[x]subsequent myocardial infarction of unspecified site				cad				CAD	Diagnosis	MI																													1
95488	Gyu4.00	[x]pulmon heart disease & diseases of pulmonary circulation				cad				CAD	Diagnosis	Not specific																													1
110634	Gyu4000	[x]other specified pulmonary heart diseases				cad				CAD	Diagnosis	Not specific																													1
68979	Gyu5.00	[x]other forms of heart disease				cad				CAD	Diagnosis	Not specific																													1
100907	Gyu5000	[x]other forms of acute pericarditis				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
112442	Gyu5200	[x]pericarditis in bacterial diseases classified elsewhere				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
108258	Gyu5400	[x]pericarditis in other diseases classified elsewhere				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
70648	Gyu5M00	[x]other hypertrophic cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Hypertrophic cardiomyopathy	Diagnosis								1
92266	Gyu5N00	[x]other restrictive cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Restrictive cardiomyopathy	Diagnosis								1
97617	Gyu5P00	[x]other cardiomyopathies				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
98634	Gyu5R00	[x]cardiomyopathy in metabolic diseases ce				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
53893	Gyu5a00	[x]other specified cardiac arrhythmias	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
99051	Gyu5g00	[x]cardiovascular disease, unspecified				cad				CAD	Diagnosis	Not specific																													1
73901	Gyu6.00	[x]cerebrovascular diseases				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
108668	Gyu6000	[x]subarachnoid haemorrhage from other intracranial arteries				stroke															Diagnosis		1	22.haemorrhagic stroke subarachnoid																	1
53810	Gyu6200	[x]other intracerebral haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
91627	Gyu6300	[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs				stroke															Diagnosis		1	10.ischaemic stroke																	1
53745	Gyu6400	[x]other cerebral infarction				stroke															Diagnosis		1	10.ischaemic stroke																	1
111096	Gyu6700	[x]other specified cerebrovascular diseases				cad				CAD	Diagnosis	Not specific																													1
99367	Gyu6A00	[x]other cerebrovascular disorders in diseases ce				cad				CAD	Diagnosis	Not specific																													1
114678	Gyu6B00	[x]sequelae of other nontraumatic intracranial haemorrhage				stroke															History		1	90.history of stroke nos																	1
108630	Gyu6E00	[x]subarachnoid haemorrh from intracranial artery, unspecif				stroke															Diagnosis		1	22.haemorrhagic stroke subarachnoid																	1
96630	Gyu6F00	[x]intracerebral haemorrhage in hemisphere, unspecified				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
94482	Gyu6G00	[x]cereb infarct due unsp occlus/stenos precerebr arteries				stroke															Diagnosis		1	10.ischaemic stroke																	1
73961	Gyu7400	[x]other specified peripheral vascular diseases				pvd																																		Diagnosis	1
116085	Gyu7A00	[x]peripheral angiopathy in diseases classified elsewhere				pvd																																		Diagnosis	1
101898	Gyu9500	[x]other specifd disorders/circulatory system in diseases ce				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
15736	Gz...00	circulatory system disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
30214	H54..00	pulmonary congestion and hypostasis				hf															Possible	Heart failure																			1
1585	H541.00	pulmonary congestion				hf															Possible	Heart failure																			1
26082	H541000	chronic pulmonary oedema				hf															Possible	Heart failure																			1
7321	H541z00	pulmonary oedema nos				hf															Possible	Heart failure																			1
61229	H54z.00	pulmonary congestion and hypostasis nos				hf															Possible	Heart failure																			1
558	H584.00	acute pulmonary oedema unspecified				hf															Possible	Heart failure																			1
5293	H584z00	acute pulmonary oedema nos				hf															Possible	Heart failure																			1
65000	H585.00	trauma and post-operative pulmonary insufficiency				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
96754	H585200	pulmonary insufficiency following trauma				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
114150	H585z00	trauma and post-operative pulmonary insufficiency nos				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
54205	J420200	thrombus of the superior mesenteric veins				dvt																				1	2.DVT other/NOS	Diagnosis													1
67006	L096400	pulmonary embolism following abortive pregnancy				vte																			1																1
112120	L09y200	cardiac failure following abortive pregnancy				hf															Diagnosis	Heart failure																			1
47607	L440.11	cva - cerebrovascular accident in the puerperium				stroke															Diagnosis		1	30.stroke nos																	1
56279	L440.12	stroke in the puerperium				stroke															Diagnosis		1	30.stroke nos																	1
6308	M271.12	ischaemic leg ulcer				pvd																																		Diagnosis	1
24327	M271000	ischaemic ulcer diabetic foot				pvd																																		Diagnosis	1
11624	M271300	arterial leg ulcer				pvd																																		Diagnosis	1
8801	M271400	mixed venous and arterial leg ulcer				pvd																																		Diagnosis	1
11920	N000400	systemic lupus erythematosus with pericarditis				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
23754	P5...12	congenital heart disease, septal and bulbar anomalies				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
6886	P63..00	congenital aortic valve stenosis				vhd																															1	1.Aortic valve disease	Diagnosis		1
8636	P64..00	congenital aortic valve insufficiency				vhd																															1	1.Aortic valve disease	Diagnosis		1
58734	P640.00	congenital aortic valve insufficiency, unspecified				vhd																															1	1.Aortic valve disease	Diagnosis		1
6843	P64z.00	congenital aortic valve insufficiency nos				vhd																															1	1.Aortic valve disease	Diagnosis		1
61651	P66..00	congenital mitral insufficiency				vhd																															1	2.Mitral valve disease	Diagnosis		1
89256	P68..00	congenital heart disease				cad				CAD	Diagnosis	Not specific																													1
101592	P7yz.00	other cardiovascular system anomaly nos				nonspecificcvd													1.CVD - non-specific	Possible																					1
65499	P7yzz00	other cardiovascular system anomaly nos				nonspecificcvd													1.CVD - non-specific	Possible																					1
105624	Pyu2B00	[x]oth specified cong malform of peripheral vascular system				pvd																																		Diagnosis	1
104012	Q31y400	perinatal acrocyanosis				pvd																																		Diagnosis	1
20822	Q48y100	congenital cardiac failure				hf															Diagnosis	Heart failure																			1
24594	R05..00	[d]cardiovascular system symptoms				nonspecificcvd													1.CVD - non-specific	Possible																					1
1501	R050.00	[d]tachycardia, unspecified	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
93387	R050.12	[d]postural orthostatic tachycardia syndrome (pots)	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
4789	R051.00	[d]palpitations	arrhythmia	Palpitations	Diagnosis	arrhythmia																																			1
15998	R051z00	[d]palpitations nos	arrhythmia	Palpitations	Diagnosis	arrhythmia																																			1
53634	R054200	[d]gangrene of toe in diabetic				pvd																																		Diagnosis	1
31053	R054300	[d]widespread diabetic foot gangrene				pvd																																		Diagnosis	1
14796	R055000	[d]failure of peripheral circulation				pvd																																		Diagnosis	1
30484	R055011	[d]peripheral circulatory failure				pvd																																		Diagnosis	1
8061	R059.00	[d]sinus bradycardia	arrhythmia	Bradycardia	Diagnosis	arrhythmia																																			1
3115	R05W.00	[d] bradycardia, unspecified	arrhythmia	Bradycardia	Diagnosis	arrhythmia																																			1
52175	R05z.00	[d]other cardiovascular symptoms				nonspecificcvd													1.CVD - non-specific	Possible																					1
15807	R05zz00	[d]cardiovascular symptoms nos				nonspecificcvd													1.CVD - non-specific	Possible																					1
52423	Ryu0600	[x]bradycardia, unspecified	arrhythmia	Bradycardia	Diagnosis	arrhythmia																																			1
12734	SP07600	coronary artery bypass graft occlusion				cad				CAD	Diagnosis	Revascularisation																													1
72435	SP11000	cardiac arrest as a complication of care				cad				CAD	Diagnosis	SCA																													1
66306	SP11111	heart failure as a complication of care				hf															Diagnosis	Heart failure																			1
1224	SP12200	post operative deep vein thrombosis				dvt																				1	2.DVT other/NOS	Diagnosis													1
42248	ZLEP.00	discharge from stroke serv				stroke															History		1	90.history of stroke nos																	1
26242	ZRad.00	new york heart assoc classification heart failure symptoms				hf															Diagnosis	Heart failure																			1
27741	ZV12500	[v]personal history of circulatory system disease				cad				CAD	History	Not specific																													1
19348	ZV12511	[v]personal history of stroke				stroke															History		1	90.history of stroke nos																	1
7138	ZV12512	[v]personal history of cerebrovascular accident (cva)				stroke															History		1	90.history of stroke nos																	1
19562	ZV12800	[v] personal history deep vein thrombosis				vte																			1																1
17847	ZV12811	[v] personal history dvt- deep vein thrombosis				dvt																				1	90. History of DVT/PE	History													1
16976	ZV12900	[v] personal history of pulmonary embolism				pulmonaryembolism																							1	History											1
18913	ZV45700	[v]presence of aortocoronary bypass graft				cad				CAD	Diagnosis	Revascularisation																													1
18643	ZV45800	[v]presence of coronary angioplasty implant and graft				revascularisation											Revascularisation	Possible																							1
5030	ZV45K00	[v]presence of coronary artery bypass graft				revascularisation											Revascularisation	Diagnosis																							1
5674	ZV45K11	[v]presence of coronary artery bypass graft - cabg				cad				CAD	Diagnosis	Revascularisation																													1
12541	ZV71900	[v]observation for suspected myocardial infarction				mi							1	Possible MI																											1
